Category,Residential,Commercial,Industrial,Other,Total
0,31911180087,10022381861,2011876751,2262558588,46207997288
1,74146025984,20618951170,4647720683,4483743948,103896000000
2,51125935747,14245045739,3939885100,3227013591,72537880177
3,54996006268,16622455227,4528666366,3673503022,79820630883
4,63469435996,21612781801,5784635883,4551798589,95418652269
5,67633427643,25185119843,7025725759,4925608797,104770000000
6,63074913004,23192346165,6881617972,4707576683,97856453824
7,54386921469,19153892753,6174604990,3874286248,83589705460
8,53108359510,18171324075,5808742943,3652651324,80741077852
9,55143523658,19037740168,5374616717,3746447192,83302327736
10,53692031229,19004408383,5151908092,3872381638,81720729342
11,53407595635,18997825827,5039659342,3798276516,81243357320
12,50456128635,18952954698,4679748908,3831032147,77919864388
13,42475520186,16840315460,4359292313,3332330039,67007457998
14,35661497121,14677753522,4154948732,2976873554,57471072929
15,31301587893,12816695059,3553396832,2974055987,50645735771
16,27563040463,11127100886,3205708982,2837446152,44733296483
17,26085741254,10810540551,3190447687,2636038219,42722767710
18,26580562475,10609614141,2723408709,2518182417,42431767742
19,27261850750,10510277228,2486532989,2323231681,42581892649
20,25932757494,10223229165,2547793354,2117128406,40820908419
21,23000665053,9109216933,2612568940,1934272005,36656722931
22,20995212473,8360201859,2689217681,1684809886,33729441899
23,18892771884,8248055587,2712433092,1395751436,31249012000
24,15897241531,7103136121,2165801794,1119420603,26285600050
25,14246306941,6213402689,1938688380,1011879829,23410277839
26,15544354591,6368860507,2217837728,1062788021,25193840848